column,category,disposition,excluded_by,perm_importance,acc_stratified,acc_temporal,tau,tau_star,flagged_tau,flagged_tau_star,predictive,nested_acc_stratified,nested_acc_temporal,nested_tau,nested_rank,identical_group
SrcWin,behavioural,retained,,0.0000,0.657,0.657,1.00,1.0000,no,no,yes,0.6558,0.5778,0.8811,17,
DstWin,behavioural,retained,,0.0000,0.461,0.434,0.94,0.8988,no,no,no,0.4596,0.4789,1.0420,,
SrcTCPBase,behavioural,retained,,0.0000,0.502,0.397,0.79,0.6588,no,no,no,0.4919,0.4448,0.9042,,
DstTCPBase,behavioural,retained,,0.0000,0.496,0.377,0.76,0.6057,no,no,no,0.4865,0.4433,0.9114,,
TcpRtt,behavioural,retained,,0.0000,0.373,0.337,0.90,0.7986,no,no,no,0.3682,0.3606,0.9794,,
SynAck,behavioural,retained,,0.0000,0.372,0.330,0.89,0.7638,no,no,no,0.3663,0.3562,0.9727,,
AckDat,behavioural,retained,,0.0000,0.370,0.350,0.95,0.8862,no,no,no,0.3672,0.3606,0.9819,,
Offset,behavioural,retained,,0.0000,0.069,0.207,3.00,-0.1021,no,no,no,0.0867,0.0673,0.7760,,
sMeanPktSz,behavioural,retained,,0.0000,0.584,0.583,1.00,0.9974,no,no,yes,0.5824,0.5519,0.9478,,
dMeanPktSz,behavioural,retained,,0.0000,0.737,0.709,0.96,0.9484,no,no,yes,0.7352,0.7254,0.9866,32,
sMaxPktSz,behavioural,retained,,0.0008,0.592,0.595,1.01,1.0075,no,no,yes,0.5899,0.5791,0.9818,31,
dMaxPktSz,behavioural,retained,,0.0000,0.712,0.694,0.97,0.9652,no,no,yes,0.7109,0.6824,0.9600,28,
sMinPktSz,behavioural,retained,,0.0000,0.450,0.480,1.07,1.1173,no,no,no,0.4508,0.4358,0.9665,,
dMinPktSz,behavioural,retained,,0.0000,0.566,0.523,0.92,0.8843,no,no,no,0.5624,0.5687,1.0112,,
